Comment_Id,Product_Id,Comment_Content,Comment_Evaluation
843,31,kalitesi muhteşem rengine bayıldım eşiminde beğenerek giyecegine eminim teşekkürler Avva🥳,5
20574,1031,Çokk begendimmmmm aşırı güzel,5
5564,241,ürün harika tam bedeninizi alın tam oldu,5
13298,618,Abime doğum günü hediyesi aldık gayet güzel tam beden kalıp harika renk zaten efsane.Trendyol teşekkürler...,5
7365,320,Mavi kalitesi düşünmeden alın,5
41583,3368,ürün kalıp olarak çok büyük aslında kumasi yönünden kaliteli ancak kalıbı hangi bedende alırsanız alın büyü olacak çok hoş durmuyo o yüzden normalde oversize severim ama bunu sevemedim,3
41503,3352,Kumaşı simli ve naylon resmen. İade,1
22878,1156,kalitesi güzel ama keşke slim fit olsaydı. alt tarafı biraz geniş ona göre alın,4
30496,1592,Çok güzel baya sıcak tutuyor,5
2979,118,"eşime ve kendime aldım ikimizde severek kullanıyoruz, kalitesi çok güzel",5
26917,1374,yüksek bel değil normal bel değil ona göre alın,4
34418,1977,Güzel bir atlet,3
3398,140,Çok güzel kaliteli bir ürün,5
34860,2058,güzel ürün fakat yıkanınca bir beden küçülüyor ona göre tercih edebilirsiniz,4
16419,790,"Aynı gömleği hem abime hem nişanlıma aldım ve gerçekten mükemmel bir gömlek. Kumaşı dokusu çok iyi, kırışmayan bir yapısı var. Kesinlikle tavsiye ederim, tam beden alabilirsiniz.",5
11279,510,Cok güzel beğendim,5
714,26,arkadasima aldik cok beyendi,5
43251,3827,bambaşka bi ürün geldi urunde okadar iğrençki anlatamam renk farkli gelen ürünun kesimi farkli hemen iyade edicem bir daha trendyol kotondan asla sipariş vermem bir sürü mağzasından alişveriş yaptim ama kotondan aldığim hırkalar kadar kötü resimlerin tam tersi ürünler gelmemişti,1
9359,417,Harika bir jean çok güzel kalıbı var bayıldım teşekkürler mavi teşekkürler trendyol. Beden konusunda da 1.63 boy 50 kilo için 26/27 tam ideal oluyor.,5
42765,3658,Oversize kalıp olarak geçiyor ama asla oversize değil ve tişörtün boyu kısa ara boy en nefret ettiğim tişört boyu ❌❌❌,1
43620,3932,arka detayı hoş durmuyor geniş omuzlu uzun boylu olmak gerekiyor,1
33535,1804,fena değil,3
6927,299,çok beğendim yeri çok 62 kilo m beden iyi geldi boy 1.60 uzunlugu ayakbileklerime kadar oldu hızlı kargo,5
27796,1452,Kumaşı kaliteli kalın kış için uygun .Mavideki bedenimi 26/27 aldım diğerlerinde olduğu gibi tam oldu. 165 boy 57 kg ya tam,5
25017,1278,Alt üst takım olarak aldım giymeye kıyamıyorum o kadar tatlı ki,5
35040,2093,Göründüğü gibi güzel ve kaliteli bit ürün,4
11221,507,Elbise cok guzel ama iç gösteriyor.,4
23021,1165,Tişörtler harika,5
43484,3891,Kurtarıcı bir etek yanlız ince ve beden olarak büyü bir beden küçük almanızı tavsiye ederim,3
8868,390,kaliteli bu fiyata cok iyi bir urun,5
34800,2046,iyi👍👍👍👍,4
9025,398,tek kelimeyle mükemmel bir gömlek hiç tereddüt etmeden alabilirsiniz ışıl ışıl kumaşı da çok güzel teşekkür ler koton👌,5
23222,1176,beden boy olarak üzerime tam oldu. ürün likralı olması bedeni ayrı rahat tutuyor.,5
9320,415,Bir beden büyük tercih ediniz kalitesi çok güzrl,5
11619,526,ürün güzel kaliteli. beklediğim gibi. bedenide tam. xl giyiyorum ve xl almıştım tam istediğim gibi olsu,5
198,7,çok güzel. tavsiyye efiyorum,5
3650,150,Kalıbı garipti kollarda potluk yaptı,1
22558,1137,kotu otesi,1
40964,3244,kalite olarak güzel beden büyük geldi,4
6651,286,"kaliteli,fiyatı uygundu.",5
14139,662,Çok kısa sürede elime ulaştı. Bedeni de tam oldu. Çok teşekkürler,5
7442,323,kaliteli ve güzel,5
304,11,Ürünün dokusu cok güzel yumuşacık iyikide avva,5
37349,2524,tavsiyelere uyarak 1 beden küçük sipariş vermiştim. ama kesinlikle 2 beden küçük sipariş vermek çok daha iyi olurmuş. görüntüsü resimdeki gibi. kuması güzel bir battaniye gibi,4
8437,372,Sade ve havalı bence çok iyi👌🏻,4
3730,153,bedeninizi alın tam oldu,5
26611,1360,Gönülrahatlığıyla tavsiye ediyorum hızlı ve özenlikargo için çok teşekkür ederim,5
33834,1864,"Ürünün materyali güzel. Pamuk oranı oldukça yüksek ama renk olarak çok düz, daha gölgeli olmasını isterdim.",4
31974,1680,Urun gayet guzel,5
12527,578,Güzel pamuklu bir ürün,5
20691,1038,Kaliteli rengi de baya güzel,5
7421,322,Gayet güzel,5
3833,160,Ürün cok kaliteli bayildim,5
4102,173,Güzel bi kaç renk sipariş verdim,4
35574,2199,Kalitesini ve duruşunu beğenemedim çok bol iade,3
23490,1190,Çok beğendik hızlı kargo için teşekkürler,5
13956,649,1 beden küçük alın,5
10461,471,"bayıldım. çok güzel oldu bana. bundan sonra mom jeans tercihim olacak çok rahat.174 boy, 61 kiloyum 27/29 aldım tam oldu.",5
20114,997,ürün çok güzel kalite harika teşekkür ediyorum ilginize 👌♥️,5
37245,2508,Ürün kalitesi gayet iyi ama 175 boy / L beden biraz uzun yani diz altına geliyor bunu göz önünde bulundurarak alın,2
